id;temperature;feels_like;temperature_min;temperature_max;date
1;24423;82532;46657;43222;2021-01-28T04:04:17
2;27174;95187;34451;31290;2021-01-27T21:49:27
3;62925;21448;11353;57268;2021-01-28T05:59:20
4;10030;64621;11709;35285;2021-01-28T05:41:19
5;5242;50968;62885;59066;2021-01-28T06:00:05
6;49690;15780;63317;41292;2021-01-28T14:18:47
7;92880;31974;6125;66114;2021-01-28T20:22:41
8;79648;96025;58260;8932;2021-01-28T20:38:15
9;11983;23165;66458;67428;2021-01-28T02:21:37
10;25131;81023;32005;57245;2021-01-27T21:16:38
